"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season","MVP","First","Share","Team.Wins"
" 59","Jud Buechler","SF",31,"DET",58,5,11.3,0.9,2.7,0.353,0.3,1.4,0.217,0.6,1.3,0.507,0.41,0,0.1,0.286,0.5,1.1,1.6,0.6,0.4,0.3,0.2,0.9,2.2,"2000",FALSE,0,0,42
" 61","Matt Bullard","PF",32,"HOU",56,27,18.3,2.5,6.1,0.409,1.4,3.2,0.446,1.1,2.9,0.368,0.525,0.4,0.5,0.833,0.2,2.2,2.5,1.1,0.3,0.2,0.6,1.5,6.8,"2000",FALSE,0,0,34
" 62","Scott Burrell","SF",29,"NJN",74,9,18.1,2.2,5.7,0.394,1.1,3.1,0.353,1.1,2.5,0.444,0.492,0.5,0.7,0.78,0.9,2.6,3.5,1,0.9,0.6,0.5,2.3,6.1,"2000",FALSE,0,0,31
" 63","Jason Caffey","PF",26,"GSW",71,56,30.4,4.5,9.5,0.479,0,0,0,4.5,9.5,0.48,0.479,2.9,4.9,0.597,2.7,4.1,6.8,1.7,0.9,0.3,2.4,3.8,12,"2000",FALSE,0,0,19
" 65","Marcus Camby","C",25,"NYK",59,11,26.2,3.8,8,0.48,0,0,0.5,3.8,7.9,0.48,0.481,2.5,3.7,0.67,2.9,4.9,7.8,0.8,0.7,2,1.2,3.5,10.2,"2000",FALSE,0,0,50
" 66","Elden Campbell","C",31,"CHH",78,77,32.5,4.7,10.6,0.446,0,0.1,0,4.7,10.6,0.45,0.446,3.2,4.6,0.69,2.2,5.4,7.6,1.7,0.7,1.9,1.6,3.4,12.7,"2000",FALSE,0,0,49
" 69","Anthony Carter","PG",24,"MIA",79,30,23.5,2.5,6.4,0.395,0,0.3,0.13,2.5,6.2,0.407,0.398,1.2,1.6,0.75,0.6,1.9,2.5,4.8,1.2,0.1,2.2,2.1,6.3,"2000",FALSE,0,0,52
" 70","Vince Carter","SF",23,"TOR",82,82,38.1,9.6,20.7,0.465,1.2,2.9,0.403,8.5,17.8,0.475,0.493,5.3,6.7,0.791,1.8,4,5.8,3.9,1.3,1.1,2.2,3.2,25.7,"2000",FALSE,0,0.042,45
" 71","Sam Cassell","PG",30,"MIL",81,81,35.8,6.7,14.4,0.466,0.3,1.1,0.289,6.4,13.3,0.481,0.477,4.8,5.5,0.876,0.9,2.9,3.7,9,1.3,0.1,3.3,3.1,18.6,"2000",FALSE,0,0,42
" 72","Kelvin Cato","C",25,"HOU",65,32,24.3,3.3,6.2,0.537,0,0.1,0,3.3,6.1,0.543,0.537,2.1,3.2,0.649,1.6,4.4,6,0.4,0.5,1.9,1.1,2.7,8.7,"2000",FALSE,0,0,34
" 74","Cedric Ceballos","SF",30,"DAL",69,25,29.9,6.5,14.5,0.446,0.6,1.9,0.328,5.8,12.6,0.464,0.468,3,3.6,0.843,2.5,4.2,6.7,1.3,0.8,0.3,1.8,2.4,16.6,"2000",FALSE,0,0,40
" 76","Rex Chapman","SG",32,"PHO",53,19,18.1,2.3,6,0.388,0.8,2.3,0.333,1.6,3.7,0.421,0.452,1.1,1.5,0.756,0.2,1.3,1.5,1.2,0.4,0,0.7,1.3,6.6,"2000",FALSE,0,0,53
" 77","Calbert Cheaney","SG",28,"BOS",67,19,19.5,1.8,4.1,0.44,0.3,0.8,0.333,1.5,3.3,0.466,0.473,0.1,0.3,0.429,0.3,1.7,2.1,1.2,0.7,0.2,0.7,2.4,4,"2000",FALSE,0,0,35
" 79","Chris Childs","PG",32,"NYK",71,2,23.6,2.1,5,0.409,0.5,1.5,0.356,1.5,3.6,0.431,0.461,0.7,0.8,0.797,0.2,1.8,2.1,4,0.5,0.1,1.5,3.4,5.3,"2000",FALSE,0,0,50
" 80","Doug Christie","SG",29,"TOR",73,73,31,4.3,10.5,0.407,1.4,3.8,0.36,2.9,6.7,0.434,0.472,2.5,3,0.843,0.9,3,3.9,4.4,1.4,0.6,2,2.3,12.4,"2000",FALSE,0,0,45
" 81","Keon Clark","C",24,"DEN",81,20,22.8,3.5,6.5,0.542,0,0.1,0.125,3.5,6.4,0.548,0.543,1.5,2.2,0.688,2,4.2,6.2,0.9,0.6,1.4,1.5,2.9,8.6,"2000",FALSE,0,0,35
" 82","Keith Closs","C",23,"LAC",57,6,14.4,1.7,3.5,0.487,0,0.1,0,1.7,3.4,0.495,0.487,0.8,1.4,0.59,1.1,2,3.1,0.4,0.2,1.3,0.6,1.4,4.2,"2000",FALSE,0,0,15
