"Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","Season","Team.Wins","MVP"
6,"Amar'e Stoudemire",25,"PHO",0,27,1260,0.021,0.9634146,0.8391089,0.84,0.6408451,0.1293103,0.2962963,1,0.984975,0.161,0.888521,14.6,0.9225352,2008,55,FALSE
7,"Tim Duncan",31,"SAS",0,25,1260,0.02,0.9512195,0.8415842,0.6433333,0.7957746,0.2413793,0.2592593,0.9047619,0.8297162,0,0.8057395,11.1,0.7077465,2008,56,FALSE
8,"Tracy McGrady",28,"HOU",0,19,1260,0.015,0.804878,0.9158416,0.72,0.3591549,0.5086207,0.3703704,0.23809524,0.6994992,0.292,0.7549669,5.8,0.4049296,2008,55,FALSE
9,"Steve Nash",33,"PHO",0,18,1260,0.014,0.9878049,0.8490099,0.5633333,0.2464789,0.9568966,0.2592593,0.04761905,0.8414023,0.47,1,10.5,0.6373239,2008,55,FALSE
10,"Manu Ginobili",30,"SAS",0,9,1260,0.007,0.902439,0.769802,0.65,0.3380282,0.387931,0.5555556,0.19047619,0.7679466,0.401,0.9492274,11.1,0.8169014,2008,56,FALSE
11,"Dirk Nowitzki",29,"DAL",0,5,1260,0.004,0.9390244,0.8910891,0.7866667,0.6056338,0.3017241,0.2592593,0.42857143,0.7996661,0.359,0.9701987,12.9,0.7852113,2008,51,FALSE
12,"Deron Williams",23,"UTA",0,4,1260,0.003,1,0.9232673,0.6266667,0.2112676,0.9051724,0.4074074,0.14285714,0.8464107,0.395,0.8863135,11.3,0.6232394,2008,54,FALSE
13,"Carmelo Anthony",23,"DEN",0,3,1260,0.002,0.9390244,0.9009901,0.8566667,0.5211268,0.2931034,0.4814815,0.23809524,0.8213689,0.354,0.8675497,8.2,0.4929577,2008,50,FALSE
14,"Carlos Boozer",26,"UTA",0,1,1260,0.001,0.9878049,0.8638614,0.7033333,0.7323944,0.25,0.4444444,0.23809524,0.9131886,0,0.8145695,10.2,0.6091549,2008,54,FALSE
14,"Antawn Jamison",31,"WAS",0,1,1260,0.001,0.9634146,0.9579208,0.7133333,0.7183099,0.1293103,0.4814815,0.19047619,0.7278798,0.339,0.8388521,9.2,0.5070423,2008,43,FALSE
